Property Name,Price,House Type,Area (sq ft),Bedrooms,Bathrooms,Receptions,Location,City/County,Postal Code,Price per sqft
Boardwalk Place,565000,Flat / Apartment,872,2,2,2,Canary Wharf,London,E14 5SH,647.9357798165138
Carlyle Square,5850000,House,3128,5,5,5,Unknown,London,SW3 6EX,1870.2046035805627
Burlington Lodge Studios,1250000,Flat / Apartment,1201,2,2,2,48 Rigault Road,London,SW6 4JJ,1040.7993338884264
Overstrand Mansions,1800000,Flat / Apartment,1453,3,3,3,Prince of Wales Drive,London,SW11 4HA,1238.8162422573985
Eden House,1495000,New development,1781,4,4,4,New Road,London,N8 8TA,839.4160583941606
Craven Gardens,1050000,Flat / Apartment,1831,3,3,3,Wimbledon,London,SW19 8LU,573.4571272528673
Leopold Road,1850000,House,2503,5,5,5,Wimbledon,London,SW19 7JG,739.1130643228126
Queensland Road,730000,Flat / Apartment,1061,3,3,3,Unknown,London,N7 7FF,688.0301602262017
St. Marys Road,2900000,House,5896,7,7,7, Surbiton,Surrey,KT6 5EY,491.85888738127545
Rowfant Road,650000,Flat / Apartment,736,2,2,2,Unknown,London,SW17 7AP,883.1521739130435
Cleveland Gardens,2100000,House,2438,5,5,5,Barnes,London,SW13 0AJ,861.3617719442166
Elm Bank Gardens,2250000,House,2600,5,5,5,Barnes,London,SW13 0NT,865.3846153846154
Belleville Road,1695000,House,1867,5,5,5,Unknown,London,SW11 6QT,907.8735940010712
Cottenham Park Road,1375000,House,1884,4,4,4,Wimbledon,London,SW20 0SB,729.8301486199575
Barmouth Road,1400000,House,2138,5,5,5,Wandsworth,London,SW18 2DT,654.8175865294668
St. Stephen's Gardens,635000,Flat / Apartment,927,2,2,2,Putney,London,SW15 2RR,685.0053937432579
Upper St. Martin's Lane,2995000,Penthouse,1845,3,3,3,Unknown,London,WC2H 9DL,1623.3062330623306
Egerton Gardens,1000000,House,1758,4,4,4,Unknown,Ealing,W13 8HQ,568.8282138794084
Alpine Grove,449950,Flat / Apartment,526,2,2,2,South Hackney,London,E9 7SX,855.4182509505704
Townshend Court,425000,Flat / Apartment,474,1,1,1,Shannon Place,London,NW8 7DP,896.6244725738396
High Road,650000,House,1783,3,3,3, Coulsdon,Surrey,CR5 3SD,364.55412226584406
Parkfields,1795000,House,1902,3,3,3,Putney,London,SW15 6NH,943.7434279705573
Fitzroy Road,1600000,Flat / Apartment,801,2,2,2,Primrose Hill,London,NW1 8TU,1997.5031210986267
The Lodge,1750000,Flat / Apartment,1002,3,3,3,Kensington Park Gardens,London,W11 3HA,1746.506986027944
Culmstock Road,2050000,House,2275,5,5,5,Unknown,London,SW11 6LX,901.0989010989011
Mallinson Road,1150000,Flat / Apartment,1371,3,3,3,Unknown,London,SW11 1BW,838.8037928519329
South Terrace,995000,House,2446,5,5,5,Unknown,London,SW7 2TB,406.78659035159444
Douglas Road,1900000,House,1703,5,5,5,Islington,London,N1 2LD,1115.6782149148562
Union Wharf,675000,Flat / Apartment,792,1,1,1,23 Wenlock Road,London,N1 7SJ,852.2727272727273
Long & Waterson Apartments,1500000,New development,1273,3,3,3, Hackney,London,E2 8HN,1178.318931657502
ICON7,620000,New development,786,2,2,2, Holloway,London,N7 0JN,788.8040712468194
Branch Place,650000,Flat / Apartment,747,2,2,2,De Beauvoir,London,N1 5PH,870.1472556894244
Hermitage Court,500000,Flat / Apartment,663,1,1,1,Knighten Street,London,E1W 1PW,754.1478129713424
Kirkstall Road,1395000,House,2006,5,5,5,Unknown,London,SW2 4HF,695.4137587238286
St. Peters Square,2950000,House,3597,4,4,4,Unknown,London,W6 9AJ,820.1278843480678
Carlton House,765000,New development,841,2,2,2,Carlton Drive,London,SW15 2BS,909.6313912009513
Cleveland Gardens,1600000,House,1854,4,4,4,Barnes,London,SW13 0AH,862.9989212513484
Abercrombie Street,975000,House,1126,3,3,3,Unknown,London,SW11 2JB,865.8969804618117
Juer Street,1699999,House,2119,5,5,5,Battersea,London,SW11 4RF,802.2647475224162
Foxmore Street,950000,Flat / Apartment,1294,4,4,4,Battersea,London,SW11 4PU,734.1576506955178
Southwick Mews,2150000,House,1582,3,3,3,Paddington,London,W2 1JG,1359.039190897598
Pall Mall,2950000,Penthouse,1840,2,2,2,St James's,London,SW1Y 5JH,1603.2608695652175
Britannia Road,1500000,House,1115,3,3,3,Fulham,London,SW6 2HJ,1345.2914798206277
Tradewinds Court,650000,Flat / Apartment,882,2,2,2,Asher Way,London,E1W 2JB,736.9614512471655
Sunnyhill Road,950000,House,1700,4,4,4,Unknown,London,SW16 2UW,558.8235294117648
Tantallon Road,625000,Flat / Apartment,663,2,2,2,Unknown,London,SW12 8DG,942.684766214178
Leys Road,4825000,House,10475,7,7,7,Oxshott,Surrey,KT22 0QE,460.62052505966585
Lillian Road,1575000,House,1983,4,4,4,Barnes,London,SW13 9JG,794.251134644478
Christchurch Street,2550000,House,1266,3,3,3,Unknown,London,SW3 4AR,2014.218009478673
Abercrombie Street,525000,Flat / Apartment,707,2,2,2,Battersea,London,SW11 2JB,742.5742574257425
Rutland Road,775000,Flat / Apartment,967,2,2,2,South Hackney,London,E9 7TT,801.4477766287487
Ruvigny Gardens,3250000,House,2210,3,3,3,Putney,London,SW15 1JR,1470.5882352941176
Hazelwood Drive,775000,Bungalow,1459,4,4,4,Pinner,Middlesex,HA5 3TT,531.1857436600411
Roseneath Road,1775000,House,2153,5,5,5,Unknown,London,SW11 6AQ,824.4310264746865
Eton Avenue,3250000,House,2543,5,5,5,Hampstead,London,NW3 3HL,1278.0180888714117
Drapers Court,700000,Flat / Apartment,797,2,2,2,59 Lurline Gardens,London,SW11 4DF,878.2936010037641
Creffield Road,595000,Flat / Apartment,760,2,2,2,Unknown,London,W5 3RP,782.8947368421053
Oakhill Road,525000,Flat / Apartment,540,1,1,1,Putney,London,SW15 2QU,972.2222222222222
Conway Road,2450000,House,3007,6,6,6,Wimbledon,London,SW20 8PA,814.7655470568673
Henfield Road,550000,House,538,2,2,2,Wimbledon,London,SW19 3HH,1022.3048327137546
West Side Common,3950000,House,6186,6,6,6,Wimbledon,London,SW19 4UF,638.5386356288393
Melody Road,600000,Flat / Apartment,1024,1,1,1,Unknown,London,SW18 2QF,585.9375
Fullerton Road,1450000,House,1984,5,5,5, Wandsworth,London,SW18 1BX,730.8467741935484
Eaton Row,5750000,House,2896,3,3,3,Belgravia,London,SW1W 0JA,1985.4972375690609
Rutland Gardens,7500000,Flat / Apartment,1793,2,2,2,Unknown,London,SW7 1BX,4182.933630786391
Park View Court,180000,Flat / Apartment,745,2,2,2, Bow,London,E3 3AN,241.61073825503357
Paxton Close,699950,House,909,3,3,3,Richmond,Surrey,TW9 2AW,770.0220022002201
Hardwicke House,665000,Flat / Apartment,935,3,3,3, Richmond,Surrey,TW10 6PW,711.2299465240642
Westminster Close,1550000,House,3112,5,5,5,Northwood,Middlesex,HA6 2TG,498.0719794344473
Church Road,865000,House,1292,3,3,3,Unknown,Northwood,HA6 1AR,669.5046439628483
Upper Grosvenor Street,18000000,House,8315,7,7,7,Mayfair,London,W1K 2NP,2164.7624774503906
Barclay Oval,1100000,House,3153,5,5,5,Woodford Green,Essex,IG8 0PP,348.8740881699968
Thornhill Crescent,2850000,House,2857,5,5,5,Islington,London,N1 1BJ,997.5498774938746
Ripplevale Grove,1150000,Flat / Apartment,1074,3,3,3,Islington,London,N1 1HT,1070.7635009310986
Long & Waterson Apartments,550000,Penthouse,414,1,1,1, Hackney,London,E2 8HN,1328.502415458937
Long & Waterson Apartments,690000,New development,596,1,1,1, Hackney,London,E2 8HN,1157.7181208053692
Ardwick Road,995000,Flat / Apartment,999,2,2,2,Fortune Green,London,NW2 2BX,995.9959959959959
Waynflete House,575000,Penthouse,1029,3,3,3, Esher,Surrey,KT10 9QS,558.7949465500486
94 Claygate,334950,Flat / Apartment,477,1,1,1, Claygate,Surrey,KT10 0RB,702.2012578616352
Carlton House,1000000,Penthouse,962,2,2,2,Putney,London,SW15 2FU,1039.5010395010395
Queens Road,750000,House,1510,3,3,3,Thames Ditton,Surrey,KT7 0QX,496.6887417218543
Southborough Road,2100000,New development,3596,5,5,5,Surbiton,Surrey,KT6 6JN,583.9822024471636
Pavilion Park,1299000,New development,1903,4,4,4, East Molesey,Surrey,KT8 9DX,682.6064109301103
York Avenue,1900000,House,2358,4,4,4,Unknown,London,SW14 7LQ,805.7675996607294
Sutherland Gardens,1295000,House,1813,4,4,4,East Sheen,London,SW14 8DB,714.2857142857143
Turnstone House,1280000,Flat / Apartment,1169,2,2,2,Star Place,London,E1W 1AE,1094.9529512403765
St. Marys Grove,1425000,House,2028,4,4,4, Chiswick,London,W4 3LL,702.6627218934912
Stanton Road,1795000,House,1720,4,4,4,Barnes,London,SW13 0EX,1043.6046511627908
Afghan Road,1125000,House,1423,4,4,4,Battersea,London,SW11 2QD,790.5832747716092
Old Chesterton Building,945000,Flat / Apartment,1001,2,2,2,110 Battersea Park Road,London,SW11 4LZ,944.0559440559441
Kersley Street,3150000,House,2809,5,5,5,Battersea,London,SW11 4PR,1121.3955144179424
Grosvenor Avenue,699950,Flat / Apartment,920,2,2,2,Highbury,London,N5 2NP,760.8152173913044
Speldhurst Road,1275000,House,1420,4,4,4,Chiswick,London,W4 1BY,897.887323943662
Lamont Road,3750000,House,2428,3,3,3,Unknown,London,SW10 0HX,1544.4810543657331
Mortimer Court,460000,Flat / Apartment,431,1,1,1,Abbey Road,London,NW8 9AB,1067.2853828306265
Cavendish Avenue,6795000,House,4637,6,6,6,St John's Wood,London,NW8 9JE,1465.3871037308604
Bangalore Street,1695000,House,2096,4,4,4,Putney,London,SW15 1QD,808.6832061068702
Hilltop,1050000,House,2254,5,5,5,Loughton,Essex,IG10 1PX,465.83850931677017
Egerton Crescent,15950000,House,4090,4,4,4,Unknown,London,SW3 2ED,3899.755501222494
Cruikshank Street,900000,Flat / Apartment,769,2,2,2,Grays Inn,London,WC1X 9HF,1170.3511053315995
Gledhow Gardens,6950000,Flat / Apartment,3001,4,4,4,Unknown,London,SW5 0AY,2315.894701766078
Elm Bank Mansions,1200000,Flat / Apartment,1155,3,3,3, Barnes,London,SW13 0NS,1038.9610389610389
Coleraine Road,399995,Flat / Apartment,990,3,3,3,Unknown,Blackheath,SE3 7PE,404.0353535353535
Queen Anne Road,1100000,House,1607,4,4,4,South Hackney,London,E9 7AH,684.5052893590541
Paintworks,650000,New development,646,2,2,2,Kingsland Road,London,E2 8AG,1006.1919504643963
West Temple Sheen,2950000,House,3716,5,5,5,East Sheen,London,SW14 7AP,793.8643702906351
Rowditch Lane,600000,House,953,3,3,3,Unknown,London,SW11 5BX,629.5907660020987
Holmead Road,2450000,House,2313,4,4,4, Fulham,London,SW6 2JE,1059.2304366623432
Huguenot Place,775000,Flat / Apartment,939,2,2,2,Unknown,London,SW18 2EN,825.346112886049
Addison House,625000,Flat / Apartment,652,2,2,2, St John's Wood,London,NW8 9EL,958.5889570552147
St. Johns Wood Terrace,2350000,House,1519,4,4,4,St John's Wood,London,NW8 6JJ,1547.0704410796577
Wimbolt Street,1999995,House,1935,5,5,5,Shoreditch,London,E2 7BX,1033.5891472868218
Belgrave Mews North,2250000,House,1299,3,3,3,Unknown,London,SW1X 8RS,1732.1016166281754
Church Road,550000,Flat / Apartment,582,2,2,2,Richmond,Surrey,TW9 1UA,945.0171821305842
St. Augustines Road,499000,Flat / Apartment,451,1,1,1,Camden,London,NW1 9RN,1106.430155210643
St. John's Hill,850000,Flat / Apartment,1339,3,3,3,Unknown,London,SW11 1TH,634.8020911127708
Regents Drive,950000,House,1857,4,4,4,Woodford Green,Essex,IG8 8RZ,511.57781367797526
Piercing Hill,799999,House,1507,4,4,4, Epping,Essex,CM16 7JN,530.8553417385534
Bourne Street,2500000,House,1340,3,3,3,Unknown,London,SW1W 8JR,1865.6716417910447
Eaton Terrace,6450000,House,3336,5,5,5,Belgravia,London,SW1W 8EZ,1933.453237410072
Palace Court,2250000,Penthouse,1765,2,2,2,Unknown,London,W2 4HU,1274.7875354107648
Iverna Gardens,2500000,Flat / Apartment,1752,3,3,3,Unknown,London,W8 6TW,1426.9406392694063
City North East Tower,475000,New development,560,1,1,1,3 City North Place,London,N4 3FQ,848.2142857142857
ICON7,560000,New development,657,2,2,2, Holloway,London,N7 0JN,852.3592085235921
ICON7,610000,New development,758,2,2,2, Holloway,London,N7 0JN,804.7493403693932
ICON7,600000,New development,758,2,2,2, Holloway,London,N7 0JN,791.5567282321899
Octavia House,615000,Flat / Apartment,797,1,1,1,Imperial Wharf,Fulham,SW6 2FH,771.6436637390213
Gloucester House,625000,Flat / Apartment,960,2,2,2, Sheen Road,Richmond,TW10 5BB,651.0416666666666
Entwistle Terrace,600000,Flat / Apartment,658,1,1,1,St. Peters Square,London,W6 9AW,911.854103343465
Rutherford House,650000,Flat / Apartment,848,2,2,2, Battersea,London,SW11 4BT,766.5094339622641
Evelyn Road,1285000,House,1476,3,3,3,Richmond,Surrey,TW9 2TF,870.5962059620596
Oakford Road,1795000,House,1824,5,5,5,Kentish Town,London,NW5 1AJ,984.1008771929825
Walham Grove,825000,Flat / Apartment,843,2,2,2,Fulham,London,SW6 1QR,978.6476868327402
Killieser Avenue,2350000,House,3180,6,6,6,Unknown,London,SW2 4NX,738.9937106918239
Underwood Street,2350000,Flat / Apartment,2577,3,3,3,Old Street,London,N1 7LG,911.9130772215755
Emperors Gate,2500000,Flat / Apartment,1498,2,2,2,Unknown,London,SW7 4JA,1668.8918558077437
Stapleton Road,675000,Flat / Apartment,946,3,3,3,Unknown,London,SW17 8AY,713.5306553911205
Stokesheath Road,4650000,House,7996,6,6,6,Oxshott,Surrey,KT22 0PN,581.5407703851926
Tile Kiln Lane,1695000,House,6356,6,6,6, Uxbridge,Middlesex,UB9 6LU,266.67715544367525
Old Town,1050000,Flat / Apartment,976,2,2,2,Unknown,The Metal Works,SW4 0JT,1075.8196721311476
Atina Court,1200000,Flat / Apartment,932,2,2,2, Belsize Park,London,NW3 4UR,1287.5536480686694
Fulham Palace Road,625000,Flat / Apartment,663,2,2,2,Unknown,London,SW6 6TA,942.684766214178
Cottimore Avenue,649950,House,1378,4,4,4,Walton-on-Thames,Surrey,KT12 2AE,471.6618287373004
Voltaire Buildings,450000,Flat / Apartment,600,2,2,2,330 Garratt Lane,London,SW18 4FR,750.0
Chipstead Street,3450000,House,3070,5,5,5,Fulham,London,SW6 3SR,1123.7785016286646
Cambridge Street,995000,Flat / Apartment,908,2,2,2,Pimlico,London,SW1V 4QE,1095.8149779735684
Arthur Road,795000,Flat / Apartment,1536,3,3,3,Wimbledon,London,SW19 7DN,517.578125
Cromwell Road,1775000,House,2336,5,5,5,Wimbledon,London,SW19 8LF,759.8458904109589
Burwood Park Road,1295000,House,2371,5,5,5, Walton-on-Thames,Surrey,KT12 5LJ,546.1830451286377
Forge Lane,975000,House,1201,3,3,3,Richmond,Surrey,TW10 7BF,811.8234804329725
High Oaks Close,1100000,House,3185,5,5,5,Coulsdon,Surrey,CR5 3EZ,345.3689167974882
Roskell Road,549950,Flat / Apartment,730,1,1,1,Putney,London,SW15 1DS,753.3561643835617
Clarendon Gardens,2600000,Flat / Apartment,1779,3,3,3,Little Venice,London,W9 1AZ,1461.495222034851
Turpins Lane,700000,House,1441,4,4,4,Woodford Green,Essex,IG8 8AZ,485.7737682165163
Pavilion Road,3950000,House,1917,1,1,1,Knightsbridge,London,SW1X 0AX,2060.511215440793
Islington,1500000,House,1666,3,3,3,Unknown,London,N7 8LS,900.3601440576231
Elwood Street,1350000,House,1629,4,4,4,Highbury,London,N5 1EH,828.7292817679559
Northchurch Road,900000,Flat / Apartment,1069,2,2,2,Unknown,London,N1 3NU,841.9083255378858
Ellington Street,2750000,House,2500,5,5,5,Islington,London,N7 8PN,1100.0
Tollington Way,699500,New development,990,2,2,2, London,N7 6QX,N7 6RG,706.5656565656566
Well Walk,799950,Flat / Apartment,770,2,2,2,Hampstead,London,NW3 1LD,1038.8961038961038
Irene Road,2895000,House,2730,5,5,5, Fulham,London,SW6 4AL,1060.4395604395604
Melbourne Mansions,799950,Flat / Apartment,940,3,3,3,Queens Club Gardens,London,W14 9SF,851.0106382978723
Wandsworth Bridge Road,2250000,House,2949,6,6,6,Fulham,London,SW6 2TB,762.970498474059
Trystings Close,1125000,House,2495,5,5,5, Esher,Surrey,KT10 0TF,450.90180360721445
Lillie Square East,2020000,New development,1262,3,3,3, Earls Court,London,SW6 1UE,1600.633914421553
Graveney Road,975000,House,1308,4,4,4,Tooting,London,SW17 0EG,745.4128440366973
Louisville Road,1595000,House,2790,6,6,6,Unknown,London,SW17 8RN,571.68458781362
Merino Court,850000,Flat / Apartment,978,3,3,3, Clerkenwell,London,EC1V 8BG,869.120654396728
Westville Road,570000,Flat / Apartment,682,2,2,2,Unknown,London,W12 9BD,835.7771260997067
North Road,2400000,House,2411,4,4,4,Highgate,London,N6 4AA,995.4375777685608
Jubilee Court,475000,Flat / Apartment,496,1,1,1, Greenwich,London,SE10 9FJ,957.6612903225806
Onslow Road,800000,Flat / Apartment,734,2,2,2,Richmond,Surrey,TW10 6QH,1089.9182561307903
Old Oak Avenue,950000,House,3006,5,5,5, Coulsdon,Surrey,CR5 3PG,316.0345974717232
Roehampton High Street,1200000,House,1934,4,4,4,Putney,London,SW15 4HH,620.4756980351602
Arthur Road,3250000,House,4370,6,6,6,Wimbledon,London,SW19 7DP,743.7070938215103
Gibson Square,2375000,House,2153,3,3,3,Islington,London,N1 0RD,1103.111936832327
Eamont Court,650000,Flat / Apartment,595,2,2,2,Shannon Place,London,NW8 7DN,1092.436974789916
Disraeli Road,1295000,House,876,4,4,4,Putney,London,SW15 2DS,1478.310502283105
Quill Lane,1000000,House,905,2,2,2,Putney,London,SW15 1PD,1104.9723756906078
York Mansions,1885000,Flat / Apartment,1675,4,4,4,Prince of Wales Drive,London,SW11 4DL,1125.3731343283582
Thornton Hill,635000,Flat / Apartment,797,2,2,2,Unknown,London,SW19 4HS,796.7377666248432
Montem Terrace,3495000,New development,4420,6,6,6, Wimbledon,London,SW20 8TG,790.7239819004525
Ballantine Street,1200000,House,1378,3,3,3, Wandsworth,London,SW18 1AL,870.8272859216255
Freshford Street,1200000,House,1751,4,4,4, Wandsworth,London,SW18 3TF,685.3226727584238
Swanage Road,1600000,House,2330,5,5,5,Wandsworth,London,SW18 2DZ,686.695278969957
Arlesey Close,799000,House,1214,3,3,3,Putney,London,SW15 2EX,658.154859967051
Disraeli Road,850000,Flat / Apartment,876,2,2,2,Putney,London,SW15 2DZ,970.3196347031964
Chestnut Court,500000,Flat / Apartment,872,2,2,2, Northwood,Middlesex,HA6 3NL,573.394495412844
Montagu Mews North,2500000,House,1323,3,3,3,Marylebone,London,W1H 2JR,1889.644746787604
Albion Street,3950000,House,2547,4,4,4,Hyde Park,London,W2 2AS,1550.8441303494308
Eaton Row,2995000,House,1393,3,3,3,Unknown,London,SW1W 0JA,2150.0358937544866
Redcliffe Gardens,995000,Flat / Apartment,888,1,1,1,Unknown,London,SW10 9JJ,1120.4954954954956
Gerrard Road,2250000,House,1857,4,4,4,Unknown,London,N1 8BA,1211.631663974152
New North Road,749950,Flat / Apartment,855,2,2,2,Unknown,London,N1 6JB,877.1345029239766
ICON7,420000,New development,538,1,1,1, Holloway,London,N7 0JN,780.6691449814126
Richmond Road,424995,Flat / Apartment,422,1,1,1,Hackney,London,E8 3AA,1007.0971563981043
The Pryors,2150000,Flat / Apartment,2074,4,4,4,East Heath Road,London,NW3 1BP,1036.6441658630665
Bishops Road,1500000,House,1645,3,3,3,Fulham,London,SW6 7AB,911.854103343465
Gosberton Road,1575000,House,2115,4,4,4,Unknown,London,SW12 8LQ,744.6808510638298
Hearnville Road,1500000,House,2242,5,5,5,Unknown,London,SW12 8RR,669.0454950936663
Discovery Dock Apartments West,550000,Flat / Apartment,600,1,1,1, Canary Wharf,London,E14 9RT,916.6666666666666
Wilmington Square,475000,Flat / Apartment,381,1,1,1,Clerkenwell,London,WC1X 0EG,1246.719160104987
Nevill Court,595000,Flat / Apartment,791,2,2,2,Edith Terrace,London,SW10 0TL,752.212389380531
Ferry Road,2250000,House,2937,6,6,6,Barnes,London,SW13 9PR,766.0878447395302
Waldemar Avenue,755000,Flat / Apartment,907,3,3,3,Unknown,London,SW6 5LN,832.4145534729879
Battersea Church Road,900000,Flat / Apartment,1218,3,3,3,Battersea,London,SW11 3ND,738.9162561576354
Buckingham Gate,1990000,Flat / Apartment,1560,2,2,2,St. James's,London,SW1E 6LB,1275.6410256410256
South Park Road,1195000,House,1464,3,3,3,Wimbledon,London,SW19 8SZ,816.2568306010929
Garratt Lane,450000,Flat / Apartment,696,2,2,2,Unknown,London,SW18 4EE,646.551724137931
Cadogan Terrace,325000,Flat / Apartment,339,1,1,1,Victoria Park,London,E9 5HP,958.7020648967551
Hassett Road,1150000,House,1541,4,4,4,Unknown,London,E9 5SL,746.2686567164179
Sterling House,850000,Flat / Apartment,1456,2,2,2, Putney,London,SW15 6AR,583.7912087912088
Boatman's Court,879000,New development,1004,2,2,2, Putney,London,SW15 1PP,875.4980079681275
Comyn Road,1295000,House,1875,5,5,5,Unknown,London,SW11 1QB,690.6666666666666
Hightrees House,575000,Flat / Apartment,695,2,2,2,Nightingale Lane,London,SW12 8AH,827.3381294964029
Green Street,4100000,Flat / Apartment,1496,2,2,2,Mayfair,London,W1K 6RG,2740.6417112299464
Morton Road,1800000,House,1919,3,3,3,Islington,London,N1 3BD,937.9885356956748
Highbury Gardens,649950,Flat / Apartment,804,2,2,2,52 Holloway Road,London,N7 8BW,808.3955223880597
Crediton Hill,899950,Flat / Apartment,1143,2,2,2,West Hampstead,London,NW6 1HR,787.3578302712161
Moore Park Road,1999950,New development,1848,3,3,3,Unknown,London,SW6 4PS,1082.224025974026
Southborough Road,1995000,New development,3510,5,5,5,Surbiton,Surrey,KT6 6JN,568.3760683760684
Queen's Gate Gardens,1595000,Flat / Apartment,1170,2,2,2,Kensington,London,SW7 5RR,1363.2478632478633
United House,499000,New development,690,2,2,2,Mayflower Street,London,SE16 4JL,723.1884057971015
Three Riverside,3410000,Penthouse,2852,4,4,4,Riverside Quarter,London,SW18 1PP,1195.6521739130435
Onslow Gardens,6750000,Flat / Apartment,2823,5,5,5,Unknown,London,SW7 3QB,2391.0733262486715
Ensor Mews,2850000,House,1724,3,3,3,Unknown,London,SW7 3BT,1653.1322505800465
Roland Gardens,1895000,Flat / Apartment,1474,3,3,3,Unknown,London,SW7 3PE,1285.61736770692
Wardo Avenue,1650000,House,1756,4,4,4,Fulham,London,SW6 6RB,939.6355353075171
Kinnoul Road,1225000,House,1806,4,4,4,Fulham,London,W6 8NQ,678.2945736434109
